Mike	22:25 3/6/2004	130
Jim	22:25 3/6/2004	113
Tom	22:25 3/6/2004	105
Lana	22:25 3/6/2004	130
TomH	22:25 3/6/2004	125
Mike	22:26 3/6/2004	153
TomH	22:26 3/6/2004	174
Mike	21:49 1/4/2021	150
Jim	21:49 1/4/2021	141
Tom	21:49 1/4/2021	139
Lana	21:49 1/4/2021	115
Tom	21:49 1/4/2021	103
Jim	21:50 1/4/2021	84
Jim	21:50 1/4/2021	139
Lana	21:50 1/4/2021	137
Tom	21:50 1/4/2021	93
Tom	23:49 1/4/2021	133
Jim	23:49 1/4/2021	101
Tom	0:11 1/5/2021	102
Lana	0:11 1/5/2021	122
Tom	0:11 1/5/2021	163
Lana	0:11 1/5/2021	116
Mike	0:11 1/5/2021	118
TomH	0:11 1/5/2021	165
TomH	0:12 1/5/2021	124
Jim	0:12 1/5/2021	154
